English Word,French Translation,Type,Meaning 
Abacus,Abaque,n.,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
Abada,Abada,n.,The rhinoceros.
Abaddon,Abaddon,n.,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
Abaft,En arrière,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
Abaisance,Abaisance,n.,Obeisance.
Abaiser,Abaiser,n.,Ivory black or animal charcoal.
Abaist,Abaist,p. p.,Abashed; confounded; discomfited.
Abalienate,Abaliéner,v. t.,To transfer the title of from one to another; to alienate.
Abalienation,Abaliénation,n.,The act of abalienating; alienation; estrangement.
Abalone,Ormeau,n.,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."
Aband,Un groupe,v. t.,To abandon.
Abandoned,Abandonné,imp. & p. p.,of Abandon
Abandoning,Abandonner,p. pr. & vb. n.,of Abandon
Abandon,Abandonner,v. t.,To cast or drive out; to banish; to expel; to reject.
Abandonedly,Abandonné,adv.,Unrestrainedly.
Abandonee,Abandonnataire,n.,One to whom anything is legally abandoned.
Abandoner,Abandonner,n.,One who abandons.
Abandonment,Abandon,n.,"The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
Abandum,Abandon,n.,Anything forfeited or confiscated.
Abanet,Abanet,n.,See Abnet.
Abanga,Abanga,n.,"A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
Abannation,Abandon,n.,Alt. of Abannition
Abannition,Abandon,n.,Banishment.
Abarticulation,Abarticulation,n.,"Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
Abased,abaissé,imp. & p. p.,of Abase
Abasing,abaisser,p. pr. & vb. n.,of Abase
Abase,Humilier,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
Abasedly,ignoblement,adv.,Abjectly; downcastly.
Abasement,Ciment,n.,"The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
Abaser,abaser,n.,"He who, or that which, abases."
Abashed,Confus,imp. & p. p.,of Abash
Abashing,intimidant,p. pr. & vb. n.,of Abash
Abash,Rendre confus,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
Abashedly,honteusement,adv.,In an abashed manner.
Abashment,Confusion,n.,The state of being abashed; confusion from shame.
Abassi,Abassi,n.,Alt. of Abassis
Abassis,Abbas,n.,"A silver coin of Persia, worth about twenty cents."
Abatable,Abattable,a.,"Capable of being abated; as, an abatable writ or nuisance."
Abated,Abaissé,imp. & p. p.,of Abate
Abating,Baisse,p. pr. & vb. n.,of Abate
Abate,Diminuer,v. t.,To beat down; to overthrow.
Abatement,Réduction,n.,"The act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof."
Abater,Abatteur,n.,"One who, or that which, abates."
Abatis,Abattis,n.,Alt. of Abattis
Abattis,Abattis,n.,"A means of defense formed by felled trees, the ends of whose branches are sharpened and directed outwards, or against the enemy."
Abatised,Baptisé,a.,Provided with an abatis.
Abator,Abatteur,n.,One who abates a nuisance.
Abattoirs,Abattoirs,pl. ,of Abattoir
Abattoir,Abattoir,n.,"A public slaughterhouse for cattle, sheep, etc."
Abature,Résidents,n.,Grass and sprigs beaten or trampled down by a stag passing through them.
Abatvoix,Abatvoix,n.,The sounding-board over a pulpit or rostrum.
Abawed,abasourdi,p. p.,Astonished; abashed.
Abaxial,Abaxial,a.,Alt. of Abaxile
Abaxile,Abaxile,a.,Away from the axis or central line; eccentric.
Abay,Une baie,n.,Barking; baying of dogs upon their prey. See Bay.
Abb,Abbé,n.,"Among weavers, yarn for the warp. Hence, abb wool is wool for the abb."
Abba,Abba,n.,"Father; religious superior; -- in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch."
Abbacies,Abbayes,pl. ,of Abbacy
Abbacy,Abbaye,n.,"The dignity, estate, or jurisdiction of an abbot."
Abbatial,Abbatial,a.,"Belonging to an abbey; as, abbatial rights."
Abbatical,Abbatique,a.,Abbatial.
Abbe,Abbé,n.,"The French word answering to the English abbot, the head of an abbey; but commonly a title of respect given in France to every one vested with the ecclesiastical habit or dress."
Abbess,Abbesse,n.,"A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. See Abbey."
Abbeys,Abbayes,pl. ,of Abbey
Abbey,une abbaye,n.,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
Abbot,Abbé,n.,The superior or head of an abbey.
Abbotship,Abbé,n.,The state or office of an abbot.
Abbreviated,Abrégé,imp. & p. p.,of Abbreviate
Abbreviating,Abréger,p. pr. & vb. n.,of Abbreviate
Abbreviate,Abréger,v. t.,"To make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken."
Abbreviation,Abréviation,n.,"The act of shortening, or reducing."
Abbreviator,Abréviation,n.,One who abbreviates or shortens.
Abbreviatory,Abréviation,a.,Serving or tending to abbreviate; shortening; abridging.
Abbreviature,Abréviation,n.,An abbreviation; an abbreviated state or form.
Abb wool,Abb laine,,See Abb.
A B C,A B C,,"The first three letters of the alphabet, used for the whole alphabet."
Abdal,Abdal,n.,A religious devotee or dervish in Persia.
Abderian,Abdérien,a.,Given to laughter; inclined to foolish or incessant merriment.
Abderite,Abdérite,n.,"An inhabitant of Abdera, in Thrace."
Abdest,Abdest,n.,Purification by washing the hands before prayer; -- a Mohammedan rite.
Abdicable,Abdicable,a.,Capable of being abdicated.
Abdicant,Abdicant,a.,Abdicating; renouncing; -- followed by of.
Abdicated,A abdiqué,imp. & p. p.,of Abdicate
Abdicating,Abdiquer,p. pr. & vb. n.,of Abdicate
Abdicate,Abdiquer,v. t.,"To surrender or relinquish, as sovereign power; to withdraw definitely from filling or exercising, as a high office, station, dignity; as, to abdicate the throne, the crown, the papacy."
Abdication,Abdication,n.,"The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority."
Abdicative,abdicatif,a.,"Causing, or implying, abdication."
Abdicator,Abdicateur,n.,One who abdicates.
Abditive,abditif,a.,Having the quality of hiding.
Abditory,Abditoire,n.,A place for hiding or preserving articles of value.
Abdomen,Abdomen,n.,"The belly, or that part of the body between the thorax and the pelvis. Also, the cavity of the belly, which is lined by the peritoneum, and contains the stomach, bowels, and other viscera. In man, often restricted to the part between the diaphragm and the commencement of the pelvis, the remainder being called the pelvic cavity."
Abdominal,Abdominal,a.,"Of or pertaining to the abdomen; ventral; as, the abdominal regions, muscles, cavity."
Abdominals,Les abdominaux,pl. ,of Abdominal
Abdominales,Abdominal,pl. ,of Abdominal
Abdominalia,Abdominale,n. pl.,A group of cirripeds having abdominal appendages.
Abdominoscopy,Abdominoscopie,n.,Examination of the abdomen to detect abdominal disease.
Abdominothoracic,Abdominothoracique,a.,"Relating to the abdomen and the thorax, or chest."
Abdominous,Ventripotent,a.,Having a protuberant belly; pot-bellied.
Abduced,Enlevé,imp. & p. p.,of Abduce
Abducing,Enlèvement,p. pr. & vb. n.,of Abduce
Abduce,Enlever,v. t.,To draw or conduct away; to withdraw; to draw to a different part.
Abducted,Enlevé,imp. & p. p.,of Abduct
Abducting,Enlèvement,p. pr. & vb. n.,of Abduct
Abduct,Enlever,v. t.,To take away surreptitiously by force; to carry away (a human being) wrongfully and usually by violence; to kidnap.
Abduction,Enlèvement,n.,The act of abducing or abducting; a drawing apart; a carrying away.
Abductor,Ravisseur,n.,One who abducts.
Abeam,Un faisceau,adv.,"On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
Abear,Un ours,v. t.,To bear; to behave.
Abearance,Abearance,n.,Behavior.
Abearing,portant,n.,Behavior.
Abecedarian,Débutant,n.,"One who is learning the alphabet; hence, a tyro."
Abecedary,Abécédaire,a.,"Pertaining to, or formed by, the letters of the alphabet; alphabetic; hence, rudimentary."
Abed,Un lit,adv.,"In bed, or on the bed."
Abegge,Abegge,,Same as Aby.
Abele,Civil,n.,The white poplar (Populus alba).
Abelian,abélien,n.,Alt. of Abelonian
Abelite,Abélite,n.,Alt. of Abelonian
Abelonian,Abelonien,n.,"One of a sect in Africa (4th century), mentioned by St. Augustine, who states that they married, but lived in continence, after the manner, as they pretended, of Abel."
Abelmosk,Abelmosk,n.,"An evergreen shrub (Hibiscus -- formerly Abelmoschus -- moschatus), of the East and West Indies and Northern Africa, whose musky seeds are used in perfumery and to flavor coffee; -- sometimes called musk mallow."
Aber-de-vine,Aber-de-vigne,n.,"The European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch."
Aberr,Aberr,v. i.,To wander; to stray.
Aberrance,Aberrance,n.,Alt. of Aberrancy
Aberrancy,Aberrance,n.,"State of being aberrant; a wandering from the right way; deviation from truth, rectitude, etc."
Aberrant,Aberrant,a.,Wandering; straying from the right way.
Aberrate,Aberration,v. i.,To go astray; to diverge.
Aberration,Aberration,n.,"The act of wandering; deviation, especially from truth or moral rectitude, from the natural state, or from a type."
Aberrational,Aberrationnel,a.,Characterized by aberration.
Aberuncate,Aberuncate,v. t.,To weed out.
Aberuncator,Aberuncateur,n.,A weeding machine.
Abetted,encouragé,imp. & p. p.,of Abet
Abetting,complicité,p. pr. & vb. n.,of Abet
Abet,Une mise,v. t.,"To instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as, to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection."
Abetment,Incitation,n.,"The act of abetting; as, an abetment of treason, crime, etc."
Abettal,Abettal,n.,Abetment.
Abetter,Un meilleur,n.,Alt. of Abettor
Abettor,fauteur,n.,One who abets; an instigator of an offense or an offender.
Abevacuation,Évacuation,n.,A partial evacuation.
Abeyance,Situation en suspens,n.,Expectancy; condition of being undetermined.
Abeyancy,attente,n.,Abeyance.
Abeyant,Abbyant,a.,Being in a state of abeyance.
Abhal,Abhal,n.,The berries of a species of cypress in the East Indies.
Abhominable,abominable,a.,Abominable.
Abhominal,Abhominal,a.,Inhuman.
Abhorred,Détesté,imp. & p. p.,of Abhor
Abhorring,Détestant,p. pr. & vb. n.,of Abhor
Abhor,Abhorrer,v. t.,To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
Abhorrence,Horreur,n.,Extreme hatred or detestation; the feeling of utter dislike.
Abhorrency,horreur,n.,Abhorrence.
Abhorrent,Odieux,a.,"Abhorring; detesting; having or showing abhorrence; loathing; hence, strongly opposed to; as, abhorrent thoughts."
Abhorrently,abominablement,adv.,With abhorrence.
Abhorrer,Abhorrer,n.,One who abhors.
Abhorrible,abominable,a.,Detestable.
Abib,Abib,n.,"The first month of the Jewish ecclesiastical year, corresponding nearly to our April. After the Babylonish captivity this month was called Nisan."
Abidance,Respect,n.,The state of abiding; abode; continuance; compliance (with).
Abode,Demeure,imp. & p. p.,of Abide
Abid,Adhérer,,of Abide
Abiding,Demeure,p. pr. & vb. n.,of Abide
Abide,Se conformer,v. i.,To wait; to pause; to delay.
Abider,Adhérer,n.,"One who abides, or continues."
Abidingly,De façon permanente,adv.,Permanently.
Abies,Abies,n.,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
Abietene,Abietene,n.,A volatile oil distilled from the resin or balsam of the nut pine (Pinus sabiniana) of California.
Abietic,abiétique,a.,"Of or pertaining to the fir tree or its products; as, abietic acid, called also sylvic acid."
Abietin,Abietin,n.,Alt. of Abietine
Abietine,Abietine,n.,"A resinous obtained from Strasburg turpentine or Canada balsam. It is without taste or smell, is insoluble in water, but soluble in alcohol (especially at the boiling point), in strong acetic acid, and in ether."
Abietinic,Abietinic,a.,"Of or pertaining to abietin; as, abietinic acid."
Abietite,Abietite,n.,"A substance resembling mannite, found in the needles of the common silver fir of Europe (Abies pectinata)."
Abigail,Abigaïl,n.,A lady's waiting-maid.
Abiliment,Capacité,n.,Habiliment.
Abilities,Capacités,pl. ,of Ability
Ability,Capacité,n.,"The quality or state of being able; power to perform, whether physical, moral, intellectual, conventional, or legal; capacity; skill or competence in doing; sufficiency of strength, skill, resources, etc.; -- in the plural, faculty, talent."
Abime,Abime,n.,Alt. of Abyme
Abyme,Abyme,n.,A abyss.
Abiogenesis,Abiogenèse,n.,"The supposed origination of living organisms from lifeless matter; such genesis as does not involve the action of living parents; spontaneous generation; -- called also abiogeny, and opposed to biogenesis."
Abiogenetic,Abiogénétique,a.,Of or pertaining to abiogenesis.
Abiogenist,Abiogéniste,n.,One who believes that life can be produced independently of antecedent.
Abiogenous,Abiogène,a.,Produced by spontaneous generation.
Abiogeny,Abiogénie,n.,Same as Abiogenesis.
Abiological,Abiologique,a.,Pertaining to the study of inanimate things.
Abirritant,Abirritant,n.,A medicine that diminishes irritation.
Abirritate,Abirriter,v. t.,To diminish the sensibility of; to debilitate.
Abirritation,agacement,n.,A pathological condition opposite to that of irritation; debility; want of strength; asthenia.
Abirritative,Abirritatif,a.,Characterized by abirritation or debility.
Abit,Un peu,,3d sing. pres. of Abide.
Abject,Abject,a.,Cast down; low-lying.
Abjectedness,L'abjection,n.,A very abject or low condition; abjectness.
Abjection,Abjection,n.,The act of bringing down or humbling.
Abjectly,Abjectement,adv.,Meanly; servilely.
Abjectness,Abjection,n.,The state of being abject; abasement; meanness; servility.
Abjudge,Abjuger,v. t.,To take away by judicial decision.
Abjudicate,Abjurer,v. t.,"To reject by judicial sentence; also, to abjudge."
Abjudication,Abjuration,n.,Rejection by judicial sentence.
Abjugate,abjuguer,v. t.,To unyoke.
Abjunctive,Abjonctif,a.,Exceptional.
Abjuration,Abjuration,n.,"The act of abjuring or forswearing; a renunciation upon oath; as, abjuration of the realm, a sworn banishment, an oath taken to leave the country and never to return."
Abjuratory,Abjuratoire,a.,Containing abjuration.
Abjured,Abjuré,imp. & p. p.,of Abjure
Abjuring,Abjurer,p. pr. & vb. n.,of Abjure
Abjure,Abjurer,v. t.,"To renounce upon oath; to forswear; to disavow; as, to abjure allegiance to a prince. To abjure the realm, is to swear to abandon it forever."
Abjurement,Abjuration,n.,Renunciation.
Abjurer,Abjurateur,n.,One who abjures.
Ablactate,Ablacter,v. t.,To wean.
Ablactation,Ablactation,n.,"The weaning of a child from the breast, or of young beasts from their dam."
Ablaqueate,ablaqué,v. t.,"To lay bare, as the roots of a tree."
Ablaqueation,Ablaquation,n.,The act or process of laying bare the roots of trees to expose them to the air and water.
Ablastemic,ablastémique,a.,Non-germinal.
Ablation,Ablation,n.,A carrying or taking away; removal.
Ablatitious,ablatitieux,a.,"Diminishing; as, an ablatitious force."
Ablative,Ablatif,a.,Taking away or removing.
Ablaut,Ablaut,n.,"The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation; as, get, gat, got; sing, song; hang, hung."
Ablaze,En feu,adv. & a.,"On fire; in a blaze, gleaming."
Able,Capable,superl.,Fit; adapted; suitable.
Able-bodied,valide,a.,"Having a sound, strong body; physically competent; robust."
Ablegate,Ablegate,v. t.,To send abroad.
Ablegation,Ablegation,n.,The act of sending abroad.
Able-minded,doué d'esprit,a.,Having much intellectual power.
Ableness,Capacité,n.,Ability of body or mind; force; vigor.
Ablepsy,Ablepsie,n.,Blindness.
Abler,Abler,a.,comp. of Able.
Ablet,Able,,Alt. of Ablen
Ablen,Ablen,,A small fresh-water fish (Leuciscus alburnus); the bleak.
Abligate,Abliger,v. t.,To tie up so as to hinder from.
Abligurition,Abligurition,n.,Prodigal expense for food.
Ablins,Ablins,adv.,Perhaps.
Abloom,Abloom,adv.,In or into bloom; in a blooming state.
Ablude,Ablude,v. t.,To be unlike; to differ.
Abluent,Abluent,a.,Washing away; carrying off impurities; detergent.
Ablush,rougir,adv. & a.,Blushing; ruddy.
Ablution,Ablution,n.,"The act of washing or cleansing; specifically, the washing of the body, or some part of it, as a religious rite."
Ablutionary,Ablutionnaire,a.,Pertaining to ablution.
Abluvion,Abluvion,n.,That which is washed off.
Ably,habilement,adv.,"In an able manner; with great ability; as, ably done, planned, said."
Abnegated,Abandonné,imp. & p. p.,of Abnegate
Abnegating,Abandonner,p. pr. & vb. n.,of Abnegate
Abnegate,Renoncer à,v. t.,To deny and reject; to abjure.
Abnegation,Renoncement,n.,a denial; a renunciation.
Abnegative,Abnégatif,a.,Denying; renouncing; negative.
Abnegator,Abnégateur,n.,"One who abnegates, denies, or rejects anything."
Abnet,Abnet,n.,The girdle of a Jewish priest or officer.
Abnodate,Abandonner,v. t.,To clear (tress) from knots.
Abnodation,Abnodation,n.,The act of cutting away the knots of trees.
Abnormal,Anormal,a.,Not conformed to rule or system; deviating from the type; anomalous; irregular.
Abnormalities,Anomalies,pl. ,of Abnormality
Abnormality,Anomalie,n.,The state or quality of being abnormal; variation; irregularity.
Abnormally,anormalement,adv.,In an abnormal manner; irregularly.
Abnormities,Anomalies,pl. ,of Abnormity
Abnormity,Anomalie,n.,Departure from the ordinary type; irregularity; monstrosity.
Abnormous,Anormal,a.,Abnormal; irregular.
Aboard,Une planche,adv.,"On board; into or within a ship or boat; hence, into or within a railway car."
Abodance,Abodance,n.,An omen; a portending.
Abodement,Demeure,n.,A foreboding; an omen.
Aboding,Demeure,n.,A foreboding.
Abolished,Aboli,imp. & p. p.,of Abolish
Abolishing,Abolir,p. pr. & vb. n.,of Abolish
Abolish,Abolir,v. t.,"To do away with wholly; to annul; to make void; -- said of laws, customs, institutions, governments, etc.; as, to abolish slavery, to abolish folly."
Abolishable,Abolisable,a.,Capable of being abolished.
Abolisher,Abolisseur,n.,One who abolishes.
Abolishment,Abolition,n.,The act of abolishing; abolition; destruction.
Abolition,Abolition,n.,"The act of abolishing, or the state of being abolished; an annulling; abrogation; utter destruction; as, the abolition of slavery or the slave trade; the abolition of laws, decrees, ordinances, customs, taxes, debts, etc."
Abolitionism,Abolitionnisme,n.,The principles or measures of abolitionists.
Abolitionist,abolitionniste,n.,"A person who favors the abolition of any institution, especially negro slavery."
Abolitionize,Abolition,v. t.,To imbue with the principles of abolitionism.
Aboma,Gouvernements,n.,A large South American serpent (Boa aboma).
Abomasum,Caillette,n.,Alt. of Abomasus
Abomasus,Caillette,n.,"The fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. See Ruminantia."
Abominable,Abominable,a.,"Worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable."
Abominableness,Abominabilité,n.,The quality or state of being abominable; odiousness.
Abominably,Abominablement,adv.,In an abominable manner; very odiously; detestably.
Abominated,abominé,imp. & p. p.,of Abominate
Abominating,abominable,p. pr. & vb. n.,of Abominate
Abominate,Abominer,v. t.,"To turn from as ill-omened; to hate in the highest degree, as if with religious dread; loathe; as, to abominate all impiety."
Abomination,Abomination,n.,"The feeling of extreme disgust and hatred; abhorrence; detestation; loathing; as, he holds tobacco in abomination."
Aboon,Aboon,prep.,and adv. Above.
Aboral,Aboral,a.,"Situated opposite to, or away from, the mouth."
Abord,Abord,n.,Manner of approaching or accosting; address.
Aboriginal,Aborigène,a.,"First; original; indigenous; primitive; native; as, the aboriginal tribes of America."
Aboriginality,Aborigénéité,n.,The quality of being aboriginal.
Aboriginally,Autochtone,adv.,Primarily.
Aborigines,Aborigènes,n. pl.,The earliest known inhabitants of a country; native races.
Aborsement,Avortement,n.,Abortment; abortion.
Aborsive,Avortement,a.,Abortive.
Abort,Avortement,v. i.,To miscarry; to bring forth young prematurely.
Aborted,Avorté,a.,Brought forth prematurely.
Aborticide,Aborticide,n.,The act of destroying a fetus in the womb; feticide.
Abortifacient,Abortif,v.,Producing miscarriage.
Abortion,Avortement,n.,"The act of giving premature birth; particularly, the expulsion of the human fetus prematurely, or before it is capable of sustaining life; miscarriage."
Abortional,Avortement,a.,Pertaining to abortion; miscarrying; abortive.
Abortionist,Avorteur,n.,One who procures abortion or miscarriage.
Abortive,Abortif,v.,"Produced by abortion; born prematurely; as, an abortive child."
Abortively,En vain,adv.,In an abortive or untimely manner; immaturely; fruitlessly.
Abortiveness,Abortivité,n.,The quality of being abortive.
Abortment,Avortement,n.,Abortion.
Abought,Acheté,,imp. &amp; p. p. of Aby.
Abounded,abondait,imp. & p. p.,of Abound
Abounding,Abondant,p. pr. & vb. n.,of Abound
Abound,Abonder,v. i.,To be in great plenty; to be very prevalent; to be plentiful.
About,Sur,prep.,Around; all round; on every side of.
About-sledge,A propos-luge,n.,The largest hammer used by smiths.
Above,Dessus,prep.,In or to a higher place; higher than; on or over the upper surface; over; -- opposed to below or beneath.
Aboveboard,Honnête,adv.,"Above the board or table. Hence: in open sight; without trick, concealment, or deception."
Above-cited,Ci-dessus,a.,"Cited before, in the preceding part of a book or writing."
Abovedeck,Au-dessus du pont,a.,"On deck; and hence, like aboveboard, without artifice."
Above-mentioned,Mentionné ci-dessus,a.,Alt. of Above-named
Above-named,Susnommé,a.,Mentioned or named before; aforesaid.
Abovesaid,Ci-dessus,a.,Mentioned or recited before.
Abox,Une boîte,adv. & a.,Braced aback.
Abracadabra,Abracadabra,n.,A mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning; jargon.
Abradant,Abradan,n.,"A material used for grinding, as emery, sand, powdered glass, etc."
Abraded,Abrasé,imp. & p. p.,of Abrade
Abrading,Abrasion,p. pr. & vb. n.,of Abrade
Abrade,Éroder,v. t.,"To rub or wear off; to waste or wear away by friction; as, to abrade rocks."
Abrahamic,abrahamique,a.,"Pertaining to Abraham, the patriarch; as, the Abrachamic covenant."
Abrahamitic,abrahamitique,a.,Alt. of ical
ical,disparu,a.,Relating to the patriarch Abraham.
Abraham-man,Abraham-homme,n.,Alt. of Abram-man
Abram-man,Abram-homme,n.,"One of a set of vagabonds who formerly roamed through England, feigning lunacy for the sake of obtaining alms."
Abraid,Abraid,v. t. & i.,"To awake; to arouse; to stir or start up; also, to shout out."
Abranchial,Abranchial,a.,Abranchiate.
Abranchiata,Abranchiata,n. pl.,"A group of annelids, so called because the species composing it have no special organs of respiration."
Abranchiate,Abranchiate,a.,Without gills.
Abrase,Abraser,a.,Rubbed smooth.
Abrasion,Abrasion,n.,"The act of abrading, wearing, or rubbing off; the wearing away by friction; as, the abrasion of coins."
Abrasive,Abrasif,a.,Producing abrasion.
Abraum,Abraham,n.,Alt. of Abraum salts
Abraum salts,Sels d'Abraum,n.,A red ocher used to darken mahogany and for making chloride of potassium.
Abraxas,Abraxas,n.,"A mystical word used as a charm and engraved on gems among the ancients; also, a gem stone thus engraved."
Abray,Abray,v.,See Abraid.
Abreast,De front,adv.,"Side by side, with breasts in a line; as, ""Two men could hardly walk abreast."""
Abregge,Abregge,v. t.,See Abridge.
Abrenounce,Abréner,v. t.,To renounce.
Abrenunciation,Abrénonciation,n.,Absolute renunciation or repudiation.
Abreption,Abreption,n.,A snatching away.
Abreuvoir,Abreuvoir,n.,"The joint or interstice between stones, to be filled with mortar."
Abricock,Abricock,n.,See Apricot.
Abridged,abrégé,imp. & p. p.,of Abridge
Abridging,Abréger,p. pr. & vb. n.,of Abridge
Abridge,Abréger,v. t.,"To make shorter; to shorten in duration; to lessen; to diminish; to curtail; as, to abridge labor; to abridge power or rights."
Abridger,abrégé,n.,One who abridges.
Abridgment,Abrégement,n.,"The act of abridging, or the state of being abridged; diminution; lessening; reduction or deprivation; as, an abridgment of pleasures or of expenses."
Abroach,Aborder,v. t.,"To set abroach; to let out, as liquor; to broach; to tap."
Abroad,À l'étranger,adv.,"At large; widely; broadly; over a wide space; as, a tree spreads its branches abroad."
Abrogable,abrogeable,a.,Capable of being abrogated.
Abrogate,Abroger,a.,Abrogated; abolished.
Abrogated,Abrogé,imp. & p. p.,of Abrogate
Abrogating,abroger,p. pr. & vb. n.,of Abrogate
Abrogation,Abrogation,n.,The act of abrogating; repeal by authority.
Abrogative,Abrogatif,a.,"Tending or designed to abrogate; as, an abrogative law."
Abrogator,Abrogateur,n.,One who repeals by authority.
Abrood,À l'étranger,adv.,In the act of brooding.
Abrook,Abrook,v. t.,To brook; to endure.
Abrupt,Brusque,a.,"Broken off; very steep, or craggy, as rocks, precipices, banks; precipitous; steep; as, abrupt places."
Abruption,Rupture,n.,A sudden breaking off; a violent separation of bodies.
Abruptly,Brusquement,adv.,"In an abrupt manner; without giving notice, or without the usual forms; suddenly."
